original_index,stemmed,clean_final
13861,"['tambah', 'fitur', 'riwayat', 'riwayat', 'cakap', 'story', 'ecek', 'cakap', 'lewat', 'sengaja', 'kena', 'pencet', 'susah', 'ikutin', 'alur', 'cerita', 'lewat', 'tambah', 'fitur', 'riwayat', 'tambah', 'event', 'reward', 'first', 'purchase', 'first', 'top', 'honkai', 'impact', 'first', 'top', 'karakter', 'sr', 'special', 'pass', 'sr', 'pass', 'auto', 'bintang', 'event']",tambah fitur riwayat riwayat cakap story ecek cakap lewat sengaja kena pencet susah ikutin alur cerita lewat tambah fitur riwayat tambah event reward first purchase first top honkai impact first top karakter sr special pass sr pass auto bintang event
13862,[],
13863,"['rewards', 'gacha', 'isnt', 'since', 'many', 'f', 'p', 'gets', 'frustrated', 'didnt', 'get', 'character', 'waste', 'much', 'time', 'grinding', 'stellar', 'jades', 'nothing']",rewards gacha isnt since many f p gets frustrated didnt get character waste much time grinding stellar jades nothing
13864,"['tunggu', 'sparkle', 'bintang']",tunggu sparkle bintang
13865,[],
13866,[],
13867,[],
13868,[],
13869,[],
13870,"['komplain', 'tombol', 'update', 'start', 'beneran', 'update', 'data', 'kuras', 'download', 'ulang', 'data', 'tombol', 'update', 'restart', 'data', 'tipu', 'tombol', 'download', 'ulang', 'data', 'sungguh', 'tombol', 'faedah', 'restart', 'data', 'setting', 'start', 'pake', 'tulis', 'update', 'tunggu', 'jam']",komplain tombol update start beneran update data kuras download ulang data tombol update restart data tipu tombol download ulang data sungguh tombol faedah restart data setting start pake tulis update tunggu jam
13871,['komen'],komen
13872,[],
13873,[],
13874,[],
13875,[],
13876,"['story', 'writer', 'penacony', 'sad']",story writer penacony sad
13877,"['ramah', 'bintang']",ramah bintang
13878,[],
13879,"['pull', 'mulu', 'im', 'fine', 'gwencahana']",pull mulu im fine gwencahana
13880,[],
13881,['tolol'],tolol
13882,"['gachanya', 'keress', 'tolongh', 'dongg']",gachanya keress tolongh dongg
13883,"['muas', 'story']",muas story
13884,[],
13885,[],
13886,"['baik', 'data', 'unduh', 'hmpir', 'ukur', 'pc']",baik data unduh hmpir ukur pc
13887,"['overall', 'butuh', 'sesuai']",overall butuh sesuai
13888,"['update', 'baru', 'login', 'error', 'terus', 'baik', 'karakter']",update baru login error terus baik karakter
13889,[],
13890,"['nyala', 'abang']",nyala abang
13891,"['sistem', 'relic', 'buruk', 'farm', 'relic', 'argenti', 'kepala', 'badan', 'maksimal', 'trailblazer', 'power', 'kah', 'synthesis', 'khusus', 'relic', 'asa', 'relic', 'remains', 'arah', 'cr', 'cdm', 'karakter', 'dps']",sistem relic buruk farm relic argenti kepala badan maksimal trailblazer power kah synthesis khusus relic asa relic remains arah cr cdm karakter dps
13892,[],
13893,"['kikirimpact', 'terkejoed', 'taun', 'interwinted', 'fate', 'hsr']",kikirimpact terkejoed taun interwinted fate hsr
13894,"['bunuh', 'waifu', 'wajib', 'bintang']",bunuh waifu wajib bintang
13895,"['main', 'honkai', 'star', 'rail', 'gabut', 'penasaran', 'mihoyo', 'coba', 'sangka', 'cerita', 'tarik', 'suasana', 'misteri', 'suka', 'undang', 'teori', 'penasaran', 'karakter', 'cantik', 'cantik', 'hehehehe']",main honkai star rail gabut penasaran mihoyo coba sangka cerita tarik suasana misteri suka undang teori penasaran karakter cantik cantik hehehehe
13896,"['lost', 'account']",lost account
13897,['ppeek'],ppeek
13898,[],
13899,"['turn', 'based']",turn based
13900,[],
13901,"['android', 'games']",android games
13902,[],
13903,[],
13904,"['mudah', 'gacha', 'bener', 'b']",mudah gacha bener b
13905,"['overall', 'device', 'support']",overall device support
13906,[],
13907,[],
13908,[],
13909,"['genshin', 'gin', 'awkakwk']",genshin gin awkakwk
13910,"['baik', 'bugnya', 'update', 'penacony', 'force', 'close']",baik bugnya update penacony force close
13911,['unstable'],unstable
13912,['animasi'],animasi
13913,[],
13914,"['beri', 'mommy', 'kafka']",beri mommy kafka
13915,"['bilang', 'muda', 'kualitas', 'cerita', 'tarik', 'konten', 'konten', 'betah', 'bosan', 'nungguin', 'update']",bilang muda kualitas cerita tarik konten konten betah bosan nungguin update
13916,"['sehatt', 'baikk']",sehatt baikk
13917,"['baik', 'kikir']",baik kikir
13918,"['hati', 'kaya', 'kikir', 'impact']",hati kaya kikir impact
13919,['bintang'],bintang
