original_index,cleaned,normalized
17155,its a turn based game with some combination of tactics u can use the game storyline isnt fascinating as honkai impact or maybe even genshin but it is enjoyable the performance on the game still need to be optimized its a small world nothing like a freeroam genshin so it should be better performance the grinding in this game isnt bad but not good either the drop maybe can be more fixed lik why quantum relics got healing boost etc,its a turn based game with some combination of tactics u can use the game storyline isnt fascinating as honkai impact or maybe even genshin but it is enjoyable the performance on the game still need to be optimized its a small world nothing like a freeroam genshin so it should be better performance the grinding in this game isnt bad but not good either the drop maybe can be more fixed lik why quantum relics got healing boost etc
17156,game bangsat,game bangsat
17157,best game,best game
17158,aselii seruu sekalii,aselii seruu sekalii
17159,terbaik terbaik terbaik sudah tidak ada kata kata lagi ini game the best pokoknya,terbaik terbaik terbaik sudah tidak ada kata kata lagi ini game the best pokoknya
17160,game nya bagus grafiknya juga bagus cocok yg suka main game santai tpi ada beberapa kekurangannya contohnya ngak ada mode co op kalo ada mode co op para pemain lama bisa membantu pemula ngalahin bos yg ngak bisa pemula kalahin semoga komentar saya ditangapi oleh pihak mohoyo,game nya bagus grafiknya juga bagus cocok yang suka main game santai tapi ada beberapa kekurangannya contohnya tidak ada mode co op kalau ada mode co op para pemain lama bisa membantu pemula ngalahin bos yang tidak bisa pemula kalahin semoga komentar saya ditangapi oleh pihak mohoyo
17161,mantap aja lah,mantap saja lah
17162,min buff harta sama mc masa liat tier d bjir,min buff harta sama mc masa lihat tier d bjir
17163,bagus,bagus
17164,saat saya buka game dan pencet mulai lang sung keluar terus berkali kali gak tau kenapa,saat saya buka game dan pencet mulai lang sung keluar terus berkali kali tidak tau kenapa
17165,lumayan seru apalagi buat player gratisan ini worth buat dimainin,lumayan seru apalagi buat player gratisan ini worth buat dimainin
17166,emang bagus bgt buat aku yg first main game rpg sejauh ini aku main sih gada yg perlu aku kritik kayaknya masalah data yg terus bertambah no problem sih oke aja lah pokoknya,memang bagus sekali buat aku yang first main game rpg sejauh ini aku main sih gada yang perlu aku kritik kayaknya masalah data yang terus bertambah no problem sih oke saja lah pokoknya
17167,pas cari relic seele yg butuh cr cdm di spam def di relic mc api yg butuh def malah di spam cr cdm rng nya kayak udh di atur gg bet,ketika cari relic seele yang butuh cr cdm di spam def di relic mc api yang butuh def malah di spam cr cdm rng nya seperti sudah di atur good game bet
17168,funny game,funny game
17169,game sangat seru dan bug layar putih pada refleksi di atas sangat rendah sudah di perbaiki tetapi beberapa hal masih blank hitam seperti diamond besar ulti herta dan yang paling parah adalah air di scalelorge waterscape masih full hitam mohon segera di perbaiki terima kasih,game sangat seru dan bug layar putih pada refleksi di atas sangat rendah sudah di perbaiki tetapi beberapa hal masih blank hitam seperti diamond besar ulti herta dan yang paling parah adalah air di scalelorge waterscape masih full hitam mohon segera di perbaiki terima kasih
17170,udah update praunduh kok disuruh update ulang lagi,sudah update praunduh kok disuruh update ulang lagi
17171,game nya asik banget story nya seru sedih tingyun isdet,game nya asik sekali story nya seru sedih tingyun isdet
17172,asik sihu,asik sihu
17173,mohon yowoverse bisa mengatasi bug android kalo kita masuk ke game ga kelihatan apa apa malah jadi invisible mohon di perbaiki,mohon yowoverse bisa mengatasi bug android kalau kita masuk ke game tidak kelihatan apa apa malah jadi invisible mohon di perbaiki
17174,game nya bagus bgtt dari segi grafik story dan banyak hal unik lainnya karakternya juga cakep semua pokonya rekomend,game nya bagus sekali dari segi grafik story dan banyak hal unik lainnya karakternya juga cakep semua pokonya rekomend
17175,di genshin tidak begitu,di genshin tidak begitu
17176,seluruh game dari hoyoverse emang mantap dah,seluruh game dari hoyoverse memang mantap sudah
17177,keren,keren
17178,good,good
17179,karakternya bagus saya suka temanya juga keren tapi open world dari mana ya game playnya boring banget sambil tudur mah bisa main ini bikin ngantuk,karakternya bagus saya suka temanya juga keren tapi open world dari mana ya game playnya boring sekali sambil tudur mah bisa main ini buat ngantuk
17180,anj apk nya dihapus mak gw gara berat bngt tpi untuk penilaian emg asik cuma ga bisa coop itu aja sih,anj aplikasi nya dihapus mak saya gara berat sekali tapi untuk penilaian memang asik cuma tidak bisa coop itu saja sih
17181,halo hoyoverse sekarang saya ingin minta bantuan agar security akun genshin dan honkai star rail saya verivikasinya digunakan dengan email yang sudah mati bagaimana solusinya,halo hoyoverse sekarang saya ingin minta bantuan agar security akun genshin dan honkai star rail saya verivikasinya digunakan dengan email yang sudah mati bagaimana solusinya
17182,keren bangettttt,keren bangettttt
17183,maaf saya kurangin bintang nya karena grafick game ini rasis bener sama hp android yang menengah kita yang kebanyakan hp nya menengah sama yang kentang juga ingin grafick bagus tolong lah developer perbaiki pengaturan grafick nya tidak semua orang bisa beli hp menengah keatas tolong pikirkan itu jangan hanya cuan doang yang di pikirkan,maaf saya kurangin bintang nya karena grafick game ini rasis bener sama hp android yang menengah kita yang kebanyakan hp nya menengah sama yang kentang juga ingin grafick bagus tolong lah developer perbaiki pengaturan grafick nya tidak semua orang bisa beli hp menengah keatas tolong pikirkan itu jangan hanya cuan doang yang di pikirkan
17184,what yes high quality game,what yes high quality game
17185,reward nya banyak,reward nya banyak
17186,game terbaik,game terbaik
17187,gk da fitur pvp y buat lawan sesama player,tidak da fitur pvp y buat lawan sesama player
17188,gampang bosen,mudah bosan
17189,game tolol,game tolol
17190,untuk player yang loadingnya lama padahal sinyal bagus fc terus abis update download data lagi abis pra unduh update ingat dalam game setelah update pasti ada hal yang baru misalkan event dan kawan nya yang perlu diunduh nah untuk masalah fc setelah update itu masalah di device kalian sendiri karena game setelah update versi otomatis size yang diperlukan semakin banyak dan penggunaan ram mungkin saja bertambah bicara soal grafik didalam game hsr itu bagus semoga membantu,untuk player yang loadingnya lama padahal sinyal bagus fc terus abis update download data lagi abis pra unduh update ingat dalam game setelah update pasti ada hal yang baru misalkan event dan kawan nya yang perlu diunduh nah untuk masalah fc setelah update itu masalah di device kalian sendiri karena game setelah update versi otomatis size yang diperlukan semakin banyak dan penggunaan ram mungkin saja bertambah bicara soal grafik didalam game hsr itu bagus semoga membantu
17191,size terlalu besar untuk hp ram gb pun berat,size terlalu besar untuk hp ram gb pun berat
17192,mintak primo,mintak primo
17193,setiap saya bermain simulated universe swarm dan memilih patch propagation selalu lag tolong di bantu,setiap saya bermain simulated universe swarm dan memilih patch propagation selalu lag tolong di bantu
17194,game sebenernya bagus tapi sepi event jadi bosenin nunggu energy buat masuk domain lama harus nya contoh summoners war yg regen nya cepet ini udah lama drop relic busuk lagi sama saja bo ong,game sebenarnya bagus tapi sepi event jadi membuat bosan menunggu energy buat masuk domain lama harus nya contoh summoners war yang regen nya cepet ini sudah lama drop relic busuk lagi sama saja bo ong
17195,bagus,bagus
17196,stuck di aplikasikan patchnya ini kenapaaaaa,stuck di aplikasikan patchnya ini kenapaaaaa
17197,best for f p,best for f p
17198,loading nya lama,loading nya lama
17199,good,good
17200,klo kaya genshin impact lebih seru nih peterung diluar angkasa,kalau kaya genshin impact lebih seru nih peterung diluar angkasa
17201,boleeh,boleeh
17202,game nya bagus seru grafik nya cantik alur menarik tapi tolong tambahin fitur buat duduk soalnya saya dari dulu pengen duduk di kursi jingyuan,game nya bagus seru grafik nya cantik alur menarik tapi tolong tambahkan fitur buat duduk soalnya saya dari dulu pengen duduk di kursi jingyuan
17203,sangat tidak cocok game ini,sangat tidak cocok game ini
17204,tidak bisa di donlod,tidak bisa di donlod
17205,saya benci game ini karena gacha,saya benci game ini karena gacha
17206,maenarik,maenarik
17207,saya suka sekali gamenya kolou saya main gema ini saya jantungnya kaya dak dik duk karena gafiknya,saya suka sekali game nya kolou saya main gema ini saya jantungnya kaya dak dik duk karena gafiknya
17208,i want jing yuan yanqing blade bailu come home but this game so cool than i thought,i want jing yuan yanqing blade bailu come home but this game so cool than i thought
17209,loading terlalu lama belum sempet menikmati game nunggu loading lama,loading terlalu lama belum sempet menikmati game menunggu loading lama
17210,untuk gameplay untuk divice saya lumayan memadai tetapi ada sedikit keluhan dimana saat scrol ke atas ke menu data terasa frame drop yang sangat membuat saya tidak nyaman saat bermain padahal saya main game yang lebih berat seperti ghensin dan car x streat biasa saja saya tidak tau apakah itu suatu bug atau hp saya yang tidak mendukung kegiatan tersebut tapi saya mohon untuk mencarikan solusi atas masalah tersebut agar pengalaman bermain saya lebih terasa nyaman,untuk game play untuk divice saya lumayan memadai tetapi ada sedikit keluhan dimana saat scrol ke atas ke menu data terasa frame drop yang sangat membuat saya tidak nyaman saat bermain padahal saya main game yang lebih berat seperti ghensin dan car x streat biasa saja saya tidak tau apakah itu suatu bug atau hp saya yang tidak mendukung kegiatan tersebut tapi saya mohon untuk mencarikan solusi atas masalah tersebut agar pengalaman bermain saya lebih terasa nyaman
17211,game ini tidak bisa di mainin hjale narzo tapi aku suka,game ini tidak bisa di mainin hjale narzo tapi aku suka
17212,dari grafik oke lah semua cuma satu di jaringan kok di gw merah terus yah,dari grafik oke lah semua cuma satu di jaringan kok di saya merah terus yah
17213,kok akunnya hilang padahal gak ngapa in,kok akunnya hilang padahal tidak ngapa in
17214,mihoyo kalo buat game tuh bagus bgt ditunggu deh game selanjutnya dari mihoyo,mihoyo kalau buat game tuh bagus sekali ditunggu deh game selanjutnya dari mihoyo
17215,saya suka game ini mulai dari grafiknya animasinya beuh hd karakternya jg bagus ceritanya jg menarik sayangnya untk pengunduyan yang awal itu lama sekali saya menunggu sampai jam tp gpp karna game nya seru pemantian saya terbayar,saya suka game ini mulai dari grafiknya animasinya beuh hd karakternya juga bagus ceritanya juga menarik sayangnya untk pengunduyan yang awal itu lama sekali saya menunggu sampai jam tp gpp karna game nya seru pemantian saya terbayar
17216,ngewish nggak dapet dapet hightpity distandard dan di limit sama aja,ngewish tidak dapat dapat hightpity distandard dan di limit sama saja
17217,can t jump,can t jump
17218,eventnya rasis amat sama free to play ajg,eventnya rasis amat sama free to play ajg
17219,gacha ku disini lebih wangi daripada genshin habis dapet loucha eh dapet blade habis dapet blade ngincer dan heng il terus beneran dikasih belum pernah kalah rate off disini sedangkan di genshin kalah terus,gacha ku disini lebih wangi daripada genshin habis dapat loucha eh dapat blade habis dapat blade ngincer dan heng il terus beneran dikasih belum pernah kalah rate off disini sedangkan di genshin kalah terus
17220,keren,keren
17221,game scam mau dpt b sulit,game scam mau dapat b sulit
17222,pull for newbie is real dude no lie this is real and you can get besic tickets at each trailblazer level maybe only up to trailblazer level or more i forgot only pulls for beginners,pull for newbie is real dude no lie this is real and you can get besic tickets at each trailblazer level maybe only up to trailblazer level or more i forgot only pulls for beginners
17223,,
17224,mamlas,mamlas
17225,mantap sudah di perbaiki tentang pengaturan grafik nya,mantap sudah di perbaiki tentang pengaturan grafik nya
17226,bagus santai main ny,bagus santai main nya
17227,great story movie,great story movie
17228,musuh di event baru susah amat sekali hit karakter gw langsung mokad,musuh di event baru susah amat sekali hit karakter saya langsung mokad
17229,bagus tapi sayang hp ku terlalu kentang layarnya hitam semua,bagus tapi sayang hp ku terlalu kentang layarnya hitam semua
17230,pls change your name honkai star destruction,please change your name honkai star destruction
17231,bagus sih singkat padat dan jelas,bagus sih singkat padat dan jelas
17232,miminn aku abis restart hp minn trus aku mau ke akun hsr aku yang login pake twitter tapi kok g bisa yahh huwaaa bailu ama dan heng akuu,miminn aku abis restart hp minn terus aku mau ke akun hsr aku yang login pake twitter tapi kok tidak bisa yahh huwaaa bailu ama dan heng akuu
17233,ga rekomen buat semua gila ga ngotak itu habis donlod suruh donlod rescoures banyak bangetz lama lagi buat donlotnya saranku g ush didonlod minimal donlod rescnya jangan banyak banyak diluar sana banyak yang hpnya kentang jadi hpku masih kuat cuman donlodnya lama tolong lah penasaran mau mainnya tapi donlod rescouresnya banyak bgt,tidak rekomen buat semua gila tidak berpikir itu habis donlod suruh donlod rescoures banyak bangetz lama lagi buat donlotnya saranku tidak ush didonlod minimal donlod rescnya jangan banyak banyak diluar sana banyak yang hpnya kentang jadi hpku masih kuat cuman donlodnya lama tolong lah penasaran mau mainnya tapi donlod rescouresnya banyak sekali
17234,it s fun and nostalgic,it s fun and nostalgic
17235,gem skem babgsat,game skem babgsat
17236,ok,ok
17237,this so realistic and good story,this so realistic and good story
17238,apaan katanya cutscenenya bakal dibenerin pas udh update cutscennya masih patah gitu php ini updatenya sizenya udh kek badaq aja gede banget padahal mapnya aj kecil ini kenapa gak bisa login dh selalu stuck di pom pom loading screen saya sudah melapor ke cs malah pesanku di blokir game anehghhhehshhdjdjd,apa katanya cutscenenya bakal dibenerin ketika sudah update cutscennya masih patah gitu php ini updatenya sizenya sudah seperti badaq saja gede sekali padahal mapnya aj kecil ini kenapa tidak bisa login sudah selalu stuck di pom pom loading screen saya sudah melapor ke cs malah pesanku di blokir game anehghhhehshhdjdjd
17239,bagussss,bagussss
17240,gem ya bagus aku suka dalam permainnan ya d pula,game ya bagus aku suka dalam permainnan ya d pula
17241,kelamaan,kelamaan
17242,kenapa si harus daftar,kenapa si harus daftar
17243,ini saya kenapa ya kok map dan rumah rumah nya transparan padahal memori masih penuh tolong di perbaiki,ini saya kenapa ya kok map dan rumah rumah nya transparan padahal memori masih penuh tolong di perbaiki
17244,game lu itu yah make sistem pity biar apa anj gw harus keluar tiket udah berapa stellaron bayangkan hoyoverse tiket cuman spin dan heng naga beh beh maksud lu itu apa meras duit orang,game kamu itu yah make sistem pity biar apa anj saya harus keluar tiket sudah berapa stellaron bayangkan hoyoverse tiket cuman spin dan heng naga beh beh maksud kamu itu apa meras duit orang
17245,the best lah nih game,the best lah nih game
17246,keseringan force close sama bug nya banyak bet,keseringan force close sama bug nya banyak bet
17247,sumpah gamenya berat banget di hp android gue,sumpah game nya berat sekali di hp android saya
17248,it keep force closing on my device after update,it keep force closing on my device after update
17249,game ini sangat bagus aku setiap hari bermain game ini dan aku sangat senang mendapatkan kafka dan terimakasih telah memberikan saya dan heng,game ini sangat bagus aku setiap hari bermain game ini dan aku sangat senang mendapatkan kafka dan terimakasih telah memberikan saya dan heng
17250,suka banget,suka sekali
17251,gila,gila
17252,dasar game burik apalagi loading nya lamaaaaaa banget gimana sih,dasar game burik apalagi loading nya lamaaaaaa sekali gimana sih
17253,absen aku kalah rate off di pity,absen aku kalah rate off di pity
17254,susu kafka,susu kafka
17255,di gensin tidak begitu,di gensin tidak begitu
17256,i want play game not watching movie or story or read some comic no skip story is this game movie or comic,i want play game not watching movie or story or read some comic no skip story is this game movie or comic
17257,pelit,pelit
17258,bang battle speed nya tambahin dong x,bang battle speed nya tambahkan dong x
17259,kenapa setelah update gamenya force close terus saat mau mengaplikasikan patch tolong segera diperbaiki ya thanks,kenapa setelah update game nya force close terus saat mau mengaplikasikan patch tolong segera diperbaiki ya thanks
17260,rate gacha ampas,rate gacha ampas
17261,game yang sangat pas buat gweeh yekan yang jarang beud ada waktu buat maen game bisa di tinggal nyantai yekann gweehh sebagai pemain seri persona sangat merekomended gim satu ini the best or nothing,game yang sangat ketika buat gweeh yekan yang jarang beud ada waktu buat maen game bisa di tinggal nyantai yekann gweehh sebagai pemain seri persona sangat merekomended game satu ini the best or nothing
17262,bagus banget,bagus sekali
17263,saya kasi bintang satu dulu karena pertama gamenya suka ngeglich ga jelas kedua loading screennya tuh lama banget yang membuat saya cepet bosen mungkin karena hpku kurang mendukung aja pokoknya saya mau game ini lebih di optimalkan untuk glichnya maupun loading screennya yang lama sekian terimakasih,saya kasih bintang satu dulu karena pertama game nya suka ngeglich tidak jelas kedua loading screennya tuh lama sekali yang membuat saya cepet bosan mungkin karena hpku kurang mendukung saja pokoknya saya mau game ini lebih di optimalkan untuk glichnya maupun loading screennya yang lama sekian terimakasih
17264,gg as usual mihoyo needbuffrngsadge,good game as usual mihoyo needbuffrngsadge
17265,the newest event is too difficult,the newest event is too difficult
17266,gk bisa masuk,tidak bisa masuk
17267,game scamn kga jelas apus aja gauah di mainin tll,game scamn tidak jelas apus saja gauah di mainin tll
17268,sumpah ini game bagus bangett mana gw hoki lagi dpt lafka trus baguuuussss lagi grafiknya kayaknya,sumpah ini game bagus bangett mana saya hoki lagi dapat lafka terus baguuuussss lagi grafiknya kayaknya
17269,gamenya sih bagus sayangnya sama kaya game sebelumnya pelit resources,game nya sih bagus sayangnya sama kaya game sebelumnya pelit resources
17270,untungnya hp ku setelah download nggak duar duar,untungnya hp ku setelah download tidak duar duar
17271,naikan gaji translator mihoyo,naikan gaji translator mihoyo
17272,pengen main tapi pas liat download datana ne gb lololo langsung ngeness ate ku aku yo bukan masalahin jumlah download data ne tapi ya nungguin nya lagi download itu lo ditinggal ngeseng gak bakalan kelar iki dengan wifi yang gak seberapa ini ya tapi tetap k kasi bintang lah yo,pengen main tapi ketika lihat download datana ne gb lololo langsung ngeness ate ku aku yo bukan masalahin jumlah download data ne tapi ya nungguin nya lagi download itu lo ditinggal ngeseng tidak bakalan kelar iki dengan wifi yang tidak seberapa ini ya tapi tetap k kasih bintang lah yo
17273,gak bisa masuk game nya pas di buka ulang abis tu ge stuck,tidak bisa masuk game nya ketika di buka ulang abis tu ge stuck
17274,makin lama makin seru grafik mantap dan memanjakan mata,makin lama makin seru grafik mantap dan memanjakan mata
17275,kenapa saya tidak bisa masuk ke dalam game udh kali download malah macet di awal,kenapa saya tidak bisa masuk ke dalam game sudah kali download malah macet di awal
17276,mantep game nya walaupun lebih berat dari genshin impact cuma puas sama desain karakter nya,mantap game nya walaupun lebih berat dari genshin impact cuma puas sama desain karakter nya
17277,simulasi universe nya bagus,simulasi universe nya bagus
17278,makasih,terima kasih
17279,gbs login force close mulu,gbs login force close mulu
17280,gak seseru di iklan iklan hoax abis,tidak seseru di iklan iklan hoax abis
17281,game nya bagus banyak bansos eventnya seru banget terbaik pokoknya,game nya bagus banyak bansos eventnya seru sekali terbaik pokoknya
17282,tolong lah untuk pihak develop saya main genshin jaringan lancar aja masuk nya gampang kalo star rail buset kek susah gitu jaringan harus tinggi biar bisa masuk,tolong lah untuk pihak develop saya main genshin jaringan lancar saja masuk nya mudah kalau star rail buset seperti susah gitu jaringan harus tinggi biar bisa masuk
17283,terlalu boring sih terlalu turn base,terlalu boring sih terlalu turn base
17284,please tolong habis update ga bisa dibuka keluar terus padahal udah selesai update tolong solusinya pengen gacha ini yaampun ditunggu,please tolong habis update tidak bisa dibuka keluar terus padahal sudah selesai update tolong solusinya pengen gacha ini yaampun ditunggu
17285,ini geme nya seru banget tapi masih ada budnya bud nya bukan sembarang bud biasa bud parah banget lepas mau masuk aja enlek padahal memori nya masih banyak loading lama lagi padahal aku wefi wefi nya juga gak bermasalah jaringan nya setabil kok enlek loading nya lama banget aku tungguin sampe menit loh terus lepas masuk geme nya patah patah sumpah kesel tolong di berbaiki ya geme nya dong,ini game nya seru sekali tapi masih ada budnya bud nya bukan sembarang bud biasa bud parah sekali lepas mau masuk saja enlek padahal memori nya masih banyak loading lama lagi padahal aku wefi wefi nya juga tidak bermasalah jaringan nya setabil kok enlek loading nya lama sekali aku tungguin sampe menit loh terus lepas masuk game nya patah patah sumpah kesel tolong di berbaiki ya game nya dong
17286,bansos banyak mantap,bansos banyak mantap
17287,thank you,thank you
17288,adakan skip story,adakan skip story
17289,game baik,game baik
17290,b aj,b aj
17291,salah satu game turn based terbaik sepanjang sejarah dan gua sangat seneng karena udah nunggu ni game bulan lamanya dan game waifu yang eangy wangy dengan gameplay paling santai yang pernah adaaaaaaa,salah satu game turn based terbaik sepanjang sejarah dan gua sangat seneng karena sudah menunggu ni game bulan lamanya dan game waifu yang eangy wangy dengan game play paling santai yang pernah adaaaaaaa
17292,gabut doang baru instal hahahahahah baka,gabut doang baru instal hahahahahah baka
17293,bikin event simulated terbaru tapi difficult aja sudah tidak ramah f p cuih bikin event ampas p w reward banyak tapi susah diambil buat apaan,buat event simulated terbaru tapi difficult saja sudah tidak ramah f p cuih buat event ampas p saya reward banyak tapi susah diambil buat apa
17294,aku udah daftar tapi kok nggak bisa masuk,aku sudah daftar tapi kok tidak bisa masuk
17295,kenapa habis pembaruan kok keluar sendiri,kenapa habis pembaruan kok keluar sendiri
17296,sangat menyenangkan,sangat menyenangkan
17297,mantep,mantap
17298,membosankan melihat pertarungan yang ga bisa di skip sama cerita yang ga menarik quest yang ga sejalan ga bermutu very very boring and uninteresting sucks,membosankan melihat pertarungan yang tidak bisa di skip sama cerita yang tidak menarik quest yang tidak sejalan tidak bermutu very very boring and uninteresting sucks
17299,musuh terlalu kuat yg mana hrs mewajibkan kita grinding parah utk lvl up dan itu cuma bertahan sebentar krn sekalinya pindah ke misi selanjutnya itu udh beda bgt tingkat kesulitannya sirkel nya terus berjalan seperti itu mau namatin story jg susah krn lvl star blazer hrs ada di angka tertentu alhasil hrs side quest dengan reward yg sedikit bikin gacha susah apalagi untuk pendatang baru gk bs ngikutin misi event tertentu dan rate gacha kecil bgt top up pun gkkn worth it,musuh terlalu kuat yang mana hrs mewajibkan kita grinding parah untuk lvl up dan itu cuma bertahan sebentar karena sekalinya pindah ke misi selanjutnya itu sudah beda sekali tingkat kesulitannya sirkel nya terus berjalan seperti itu mau namatin story juga susah karena lvl star blazer hrs ada di angka tertentu alhasil hrs side quest dengan reward yang sedikit buat gacha susah apalagi untuk pendatang baru tidak bs ngikutin misi event tertentu dan rate gacha kecil sekali top up pun gkkn worth it
17300,mohon maaf kepada dev honkai star rail saya mau tanya kenapa saya stack loading di chapter xianzou ya sedangkan sebelumnya tidak ada kendala apapun padahal saya sangat menikmati gameplay serta alur ceritanya,mohon maaf kepada dev honkai star rail saya mau tanya kenapa saya stack loading di chapter xianzou ya sedangkan sebelumnya tidak ada kendala apapun padahal saya sangat menikmati game play serta alur ceritanya
17301,,
17302,i do love turnbased rpg game so much ive been waiting to see a d turnbased rpg game to release on mobile thank you so much hoyoverse i have so many expectations for this game i hope i could enjoy it till the story end good luck hoyoverse,i do love turnbased rpg game so much ive been waiting to see a d turnbased rpg game to release on mobile thank you so much hoyoverse i have so many expectations for this game i hope i could enjoy it till the story end good luck hoyoverse
17303,temen yg tidak beli apa apa f p tiap pull dpt b selalu menang rate off saya selalu dapat di pity kutukan apa yang anda berikan,temen yang tidak beli apa apa f p tiap pull dapat b selalu menang rate off saya selalu dapat di pity kutukan apa yang anda berikan
17304,dear hoyoverse saya selalu menyukai game buatan hoyo tapi pada game honkai star rail ini setelah update terjadi masalah pada loading masuk game memang device saya kurang bagus untuk memainkan game berat tapi saya ingin memainkan nya lagi walau untuk sekali saja saya tidak keberatan terimakasih,dear hoyoverse saya selalu menyukai game buatan hoyo tapi pada game honkai star rail ini setelah update terjadi masalah pada loading masuk game memang device saya kurang bagus untuk memainkan game berat tapi saya ingin memainkan nya lagi walau untuk sekali saja saya tidak keberatan terimakasih
17305,kok tiba keluar aplikasi lalu aplikasi berhenti,kok tiba keluar aplikasi lalu aplikasi berhenti
17306,seru juga ya,seru juga ya
17307,gacha gw dapa tyg pasaran semua,gacha saya dapa tyg pasaran semua
17308,,
17309,kebanyakan bacuot,kebanyakan bacuot
17310,stuck di loading screen,stuck di loading screen
17311,permainan stres download dalaman nya ga ngotak kntl permainan taii,permainan stres download dalaman nya tidak berpikir kntl permainan taii
17312,download pra unduh stuck gabisa lanjut awal lancar sampe mendadak sinyal lemot di ulang masih sama perbaiki lagi hoyo dari semalam ini,download pra unduh stuck gabisa lanjut awal lancar sampe mendadak sinyal lemot di ulang masih sama perbaiki lagi hoyo dari semalam ini
17313,barusan saya instal aplikasinya tp kok nggak bisa masuk ya layar hpnya langsung hitam di tungguin lama tapi tetap aja layarnya hitam padahal jaringan bagus,barusan saya instal aplikasinya tp kok tidak bisa masuk ya layar hpnya langsung hitam di tungguin lama tapi tetap saja layarnya hitam padahal jaringan bagus
17314,the game crashed after the updated when i try to complete stimulate universe world stage after hitting the enemy using any character it closed right away and after that when i try to log in again it s just loading no showing sign of the game start please help i need those star rail pass for dan heng il,the game crashed after the updated when i try to complete stimulate universe world stage after hitting the enemy using any character it closed right away and after that when i try to log in again it s just loading no showing sign of the game start please help i need those star rail pass for dan heng il
17315,so good,so good
17316,ndak jelas gk bisa download data,ndak jelas tidak bisa download data
17317,saya kasih bintang karena terdapat bug background hilang di honkai saya dan menurut saya itu sangat mengganggu,saya kasih bintang karena terdapat bug background hilang di honkai saya dan menurut saya itu sangat mengganggu
17318,hoki lur,hoki lur
17319,game sampah,game sampah
17320,semoga menang rate off danheng il edit thx danheng il nya semoga dapet lc danheng il sebelum banner reset,semoga menang rate off danheng il edit thanks danheng il nya semoga dapat lc danheng il sebelum banner reset
17321,minimal dikasih lompatlah biar bagus kalau bisa lompat pasti banyak yang download gua jamin,minimal dikasih lompatlah biar bagus kalau bisa lompat pasti banyak yang download gua jamin
17322,susah amat misi nya bikin mls aja main game nya jd jelek gw rasa game nya serasa game rusak,susah amat misi nya buat mls saja main game nya jadi jelek saya rasa game nya serasa game rusak
17323,dibanding ini mending maen genshin impact saya main genshin impact ga pernah ngelag tapi waktu saya main honkai star rail ngelagnya minta ampun mana latar belakang tempatnya tuh suka ilang sendiri lagi huh,dibanding ini mending maen genshin impact saya main genshin impact tidak pernah ngelag tapi waktu saya main honkai star rail ngelagnya minta ampun mana latar belakang tempatnya tuh suka ilang sendiri lagi huh
17324,game gk terlalu berat grafik mantap mini games banyak character wangy cool dan lagi apa banyak bansos gk pelit pelit amat,game tidak terlalu berat grafik mantap mini games banyak character wangy cool dan lagi apa banyak bansos tidak pelit pelit amat
17325,game gacha tapi udah buang buang duit ampas melulu sama aja kek genshin susahnya minta ampun,game gacha tapi sudah buang buang duit ampas melulu sama saja seperti genshin susahnya minta ampun
17326,loading screen,loading screen
17327,no reccomend,no reccomend
17328,noice,noice
17329,bagus cuman sering bug white screen gitu,bagus cuman sering bug white screen gitu
17330,pom pom,pom pom
17331,pensi krna device kentank tapi bagi kalian yg mau nyoba ni game ini game sangat bagus buat kalian yg suka tema futuristic yg keren gitu,pensi krna device kentank tapi bagi kalian yang mau nyoba ni game ini game sangat bagus buat kalian yang suka tema futuristic yang keren gitu
17332,emmuacchhh,emmuacchhh
17333,baguss sii kalo kata gua grafik jg behhh apalagi alur critanyaa semuanya kece lah kecuali jaringan ditempat gua sii dan gua rela banget beli memori gb biar bisa ikutin alur crita harapan gua sii yaa imposible to say this but gua ngarep kedepannya mbnya ni game dituruni lagii gitu hhe blum lagi disuruh download data gamenya kan naahh itu juga sii harapannya dikuranginn gitu for now on i only can give stars semoga development nya bisa bijak bersama player hsr yaaa,baguss sii kalau kata gua grafik juga behhh apalagi alur critanyaa semuanya kece lah kecuali jaringan ditempat gua sii dan gua rela sekali beli memori gb biar bisa ikutin alur crita harapan gua sii yaa imposible to say this but gua ngarep kedepannya mbnya ni game dituruni lagii gitu hhe belum lagi disuruh download data game nya kan naahh itu juga sii harapannya dikuranginn gitu for now on i only can give stars semoga development nya bisa bijak bersama player hsr yaaa
17334,di ghensin tidak begitu,di ghensin tidak begitu
17335,bagus sekalian terbukti membayar saya suka silahkan anda bermain dsini,bagus sekalian terbukti membayar saya suka silahkan anda bermain dsini
17336,dan heng kok berubah gender menjadi perempuan,dan heng kok berubah gender menjadi perempuan
17337,jempol,jempol
17338,bngt,sekali
17339,game nya tidak optimal patah tiap battle padahal pake hp high end sangat menganggu kenyamanan bermain tolong di perbaiki lagi,game nya tidak optimal patah tiap battle padahal pake hp high end sangat menganggu kenyamanan bermain tolong di perbaiki lagi
17340,ini habis update malah fc tolong di perbaiki stuck di pemeriksaan patch habis itu fc,ini habis update malah fc tolong di perbaiki stuck di pemeriksaan patch habis itu fc
17341,,
