original_index,cleaned,normalized
82,game nya sangat bagus dan dari segi desain karakter nya juga keren saya sangat suka dengan desain karakter karakter di game ini lalu untuk event nya juga menarik dan terakhir untuk story nya sangat absolute cinema mantap,game nya sangat bagus dan dari segi desain karakter nya juga keren saya sangat suka dengan desain karakter karakter di game ini lalu untuk event nya juga menarik dan terakhir untuk story nya sangat absolute cinema mantap
83,game tolol udah cape push pity menang rate off malah dapat char sampah,game tolol sudah cape push pity menang rate off malah dapat char sampah
84,makasih untuk bansosnya tapi pity sebanyak x itu ngak lucu,terima kasih untuk bansosnya tapi pity sebanyak x itu tidak lucu
85,terimakasih sudah memberikan ku pengalaman terbaik dalam gacha karakter,terimakasih sudah memberikan ku pengalaman terbaik dalam gacha karakter
86,,
87,hp inflation black screen the favoritism between two anniversary character even in his trailer anaxa can not standing alone a million dollar company with greedy behavior,hp inflation black screen the favoritism between two anniversary character even in his trailer anaxa can not standing alone a million dollar company with greedy behavior
88,please developer nyari relic gampangin lagi lah gila farming relic susahnya minta ampun selalu stat yang keluar jelek bener,please developer mencari relic permudah lagi lah gila farming relic susahnya minta ampun selalu stat yang keluar jelek bener
89,game ini terlalu kikir bahkan tidak mau merilis karakter bintang lagi,game ini terlalu kikir bahkan tidak mau merilis karakter bintang lagi
90,game bagus cuma cerita nya udh kayak nonton iklan panjang banget mana gak bisa di skip lg tolong di buat skip dialog nya karena gak semua player senang dengan ceritanya jangan seakan di paksa untuk melihat ceritanya yang membuat sebagian player berhenti untuk melanjutkan permainan ny,game bagus cuma cerita nya sudah seperti nonton iklan panjang sekali mana tidak bisa di skip lagi tolong di buat skip dialog nya karena tidak semua player senang dengan ceritanya jangan seakan di paksa untuk melihat ceritanya yang membuat sebagian player berhenti untuk melanjutkan permainan nya
91,kasih aku fugue please,kasih aku fugue please
92,kurang balance game nya dong sehabis banner castorice anaxa wanters jgn mau kalah,kurang balance game nya dong sehabis banner castorice anaxa wanters jangan mau kalah
93,thanks game baik,thanks game baik
94,game nya bagus banget,game nya bagus sekali
95,game baiq,game baik
96,march th main yukk,march th main yukk
97,gamenya bagus sih ceritanya seru pas duel nya juga seru tapi yang gak aku itu pas lagi asyik main malah ngebug jadi aku harus download ulang lagi untuk pembuat game ini tolong di perbaiki ya ngebug nya biar lebih enak mainnya itu aja sih dariku,game nya bagus sih ceritanya seru ketika duel nya juga seru tapi yang tidak aku itu ketika lagi asyik main malah terjadi bug jadi aku harus download ulang lagi untuk pembuat game ini tolong di perbaiki ya terjadi bug nya biar lebih enak mainnya itu saja sih dariku
98,ga ada apa apa kena tmr dev aneh,tidak ada apa apa kena tmr dev aneh
99,developer slow respon gk bisa ngatasin masalah tiba tiba gk bisa main terlalu banyak permintaan ganti akun aja kaga minta solusi ke cs tapi slow respon keburu malas main,developer slow respon tidak bisa ngatasin masalah tiba tiba tidak bisa main terlalu banyak permintaan ganti akun saja tidak minta solusi ke cs tapi slow respon keburu malas main
100,game paling scammmm jamgan dimainnin,game paling scammmm jamgan dimainnin
101,penyakit powercreep gila,penyakit powercreep gila
102,perfect,perfect
103,selalu dapet char standar kalo gue pull di benner char yang gue inginkn,selalu dapat char standar kalau saya pull di benner char yang saya inginkn
104,game baik,game baik
105,ga beda jauh dari genshin cara dapetin item gacha nya wajar kakak adek sama sama kikir ditambah sama sama kecil chance buat dapetin karakter b nya meski ada sistem pity salah satu cara dapetin stellar jade nya juga buka chest di jalanan gitu ini males banget kayak genshin setidaknya genshin lebih mending karena masih funable buat dieksplor lah ini hsr cuma dalem stasiun doang apanya yang mau dinikmatin desain bagusnya cuma di karakter cewek ini bukannya aku gay ya,tidak beda jauh dari genshin cara dapetin item gacha nya wajar kakak adek sama sama kikir ditambah sama sama kecil chance buat dapetin karakter b nya meski ada sistem pity salah satu cara dapetin stellar jade nya juga buka chest di jalanan gitu ini males sekali seperti genshin setidaknya genshin lebih mending karena masih funable buat dieksplor lah ini hsr cuma dalem stasiun doang apa nya yang mau dinikmatin desain bagusnya cuma di karakter cewek ini bukannya aku gay ya
106,salah satu game terbaik yang pernah saya mainkan mulai dari grafis dan desain karakter yang cukup memukau story yang seru menegangkan dan mudah dipahami serta gameplaynya yang santai membuat saya nyaman menikmati game ini sampai sekarang,salah satu game terbaik yang pernah saya mainkan mulai dari grafis dan desain karakter yang cukup memukau story yang seru menegangkan dan mudah dipahami serta gameplaynya yang santai membuat saya nyaman menikmati game ini sampai sekarang
107,ini kenapa sistem gacha nya hard pity dah kalah,ini kenapa sistem gacha nya hard pity sudah kalah
108,sistem gacha yang menguras isi dompet tolong turunkan maksimum pity gacha karakter dari pull menjadi pull sering crash saat dalam pertempuran,sistem gacha yang menguras isi dompet tolong turunkan maksimum pity gacha karakter dari pull menjadi pull sering crash saat dalam pertempuran
109,grafik dan alur cerita bagus tapi sistem gacha nya yang parah,grafik dan alur cerita bagus tapi sistem gacha nya yang parah
110,kasih fitur skipnya please,kasih fitur skipnya please
111,bagussss i love this game damn much chara gameplay story nya soooo gooddddd gaaa salaa berharap ama ni gamee semangat trus hoyooo,bagussss i love this game damn much chara game play story nya soooo gooddddd gaaa salaa berharap ama ni gamee semangat terus hoyooo
112,bagus,bagus
113,kenapa gw hard pity bagst,kenapa saya hard pity bagst
114,dissapointed for the and always got pull for star character,dissapointed for the and always got pull for star character
115,kenapa gk bisa masuk download data hampir selesai malah eror,kenapa tidak bisa masuk download data hampir selesai malah eror
116,kurogames tolonglah perbaiki hadiah aniversarynya masa sekelas aniversary dapat segitu doang katanya kemarin ada b gratis pembodohan,kurogames tolonglah perbaiki hadiah aniversarynya masa sekelas aniversary dapat segitu doang katanya kemarin ada b gratis pembodohan
117,absolute cinema,absolute cinema
118,game terbaik,game terbaik
119,powercreep brutal seenggaknya ada buff char lama old buatin fitur bikin anak,powercreep brutal seenggaknya ada buff char lama old buatkan fitur buat anak
120,game baik,game baik
121,hard pity lose,hard pity lose
122,tolong yapping nya dikurangi,tolong yapping nya dikurangi
123,overall oke sih cuman storynya banyakan yapping,overall oke sih cuman storynya banyakan yapping
124,good games,good games
125,kurang i yappingnya overall udah bagus sih dari semuanya,kurang i yappingnya overall sudah bagus sih dari semuanya
126,bagus aja,bagus saja
127,game kikir,game kikir
128,hp inflation brutal powercreep di character baru terlalu brutal sekarang main ini device saya sampe ngeframe kalo bisa dikasih opsi buat ngilangin teks damagenya soalnya ngeliat begitu banyaknya angka yang muncul bikin device ngeframe sama bikin sakit di mata cuy apalagi kalo main du atau su character dot baru pliss,hp inflation brutal powercreep di character baru terlalu brutal sekarang main ini device saya sampe ngeframe kalau bisa dikasih opsi buat ngilangin teks damagenya soalnya ngeliat begitu banyaknya angka yang muncul buat device ngeframe sama buat sakit di mata cuy apalagi kalau main du atau su character dot baru please
129,game inii sangatt baguss,game inii sangatt baguss
130,game apa ini cok gameplay kaya game jaman dulu kalo gameplay gitu cepet ngebosenin,game apa ini cok game play kaya game jaman dulu kalau game play gitu cepet ngebosenin
131,knp sy gak bisa login lewat fb ya pdahl lewat ggl lancar saja tolong dibantu dong mengenai mslh ini v,kenapa saya tidak bisa login lewat fb ya pdahl lewat ggl lancar saja tolong dibantu dong mengenai mslh ini v
132,kebencianku takkan kalian pahami,kebencianku tidak akan kalian pahami
133,kasih chat global dev biar rame makasih sukses terus hoyoverse,kasih chat global dev biar ramai terima kasih sukses terus hoyoverse
134,nice game,nice game
135,secara keseluruhan bagus enak bisa main sambil santai dan ga terlalu serius dan bansos banyak lek,secara keseluruhan bagus enak bisa main sambil santai dan tidak terlalu serius dan bansos banyak lek
